,Aduguete,Aldeia dos Anjos,Aldeia dos Redondos,Alto dos Crespos,Arroteia,Assanha da Paz,Barrocal,Barros da Paz,Carregueiro,Carrinhos,Carvalhais,Casal Fernão João,Casal Velho,Casalinho,Caseirinhos,Catela,Cavadinha,Charneca,Charneca do Vale Coimbra,Cotrofe,Cumieira,Escoural,Estrada,Flandes,Fonte Nova,Granja,Malhos,Mancos,Mendes,Motes,Olival das Lobas,Outeiro da Cruz,Outeiro das Galegas,Pinheirinho do Barroco,Pombal,Ponte da Assamassa,Pousios,Ranha de Baixo,Residual,Roussa,Santorum,Travasso,Valdeira,Vale,Vale de Cubas,Vicentes,Vinagres,Total
Ponte da Assamassa,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,133,0,0,0,54,0,13,6,0,0,0,0,0,227
Pousios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,27,0,0,0,21,0,5,0,0,0,0,0,0,58
Ranha de Baixo,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,95,0,0,0,47,0,14,0,0,0,0,0,0,180
Residual,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,16,0,0,6,0,0,0,0,0,0,127,0,0,0,40,0,9,8,0,0,0,0,0,213
Roussa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,72,0,0,0,40,0,12,0,0,0,0,0,0,130
Santorum,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,7,0,16,0,0,0,0,0,0,195,0,0,0,75,0,12,0,0,0,0,0,0,321
Travasso,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,53,0,0,0,44,0,7,1,0,0,0,0,0,113
Valdeira,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,0,0,0,44,0,2,0,0,0,0,0,0,92
Vale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,8
Vale de Cubas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,17
Vicentes,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,15,0,0,11,0,0,0,0,0,0,99,0,0,0,40,0,27,0,0,0,0,0,0,204
Vinagres,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,8,0,0,0,0,0,0,33,5,0,16,0,0,0,0,0,0,358,0,0,0,45,0,9,0,0,0,0,0,0,484
Total,0,53,0,0,0,0,0,0,0,0,53,79,0,0,22,0,0,166,0,0,0,0,0,0,442,74,0,371,0,0,0,0,0,0,6105,0,0,0,1959,24,398,76,0,0,0,0,0,9822
